mysql> select song_title, count(song_title) from song, rankingposition where (rank_date between '1972-01-01' and '1972-12-31') and (song_id = rank_songid) group by song_title order by count(song_title) desc;
+--------------------------------------------------------------------------------+-------------------+
| song_title                                                                     | count(song_title) |
+--------------------------------------------------------------------------------+-------------------+
| Slippin' Into Darkness                                                         |                22 |
| Nice To Be With You                                                            |                22 |
| I Gotcha                                                                       |                21 |
| The Candy Man                                                                  |                20 |
| Daddy Don't You Walk So Fast                                                   |                20 |
| Starting All Over Again                                                        |                20 |
| Beautiful Sunday                                                               |                20 |
| Let's Stay Together                                                            |                19 |
| Garden Party                                                                   |                19 |
| Lean On Me                                                                     |                19 |
| I Am Woman                                                                     |                19 |
| How Do You Do?                                                                 |                19 |
| Baby Don't Get Hooked On Me                                                    |                18 |
| Alone Again (Naturally)                                                        |                18 |
| Nights In White Satin                                                          |                18 |
| Everybody Plays The Fool                                                       |                18 |
| The First Time Ever I Saw Your Face                                            |                18 |
| Go All The Way                                                                 |                18 |
| Popcorn                                                                        |                18 |
| My Ding-A-Ling                                                                 |                17 |
| I Can See Clearly Now                                                          |                17 |
| Outa-Space                                                                     |                17 |
| The Lion Sleeps Tonight (Wimoweh) (Mbube)                                      |                17 |
| Papa Was A Rollin' Stone                                                       |                17 |
| Baby Let Me Take You (In My Arms)                                              |                17 |
| Without You                                                                    |                17 |
| Summer Breeze                                                                  |                17 |
| Every Day Of My Life                                                           |                16 |
| Freddie's Dead (Theme From Superfly)                                           |                16 |
| The City Of New Orleans                                                        |                16 |
| (If Loving You Is Wrong) I Don't Want To Be Right                              |                16 |
| Taxi                                                                           |                16 |
| Happiest Girl In The Whole USA                                                 |                16 |
| (Last Night) I Didn't Get To Sleep At All                                      |                16 |
| Ben                                                                            |                16 |
| Betcha By Golly, Wow                                                           |                16 |
| Brandy (You're A Fine Girl)                                                    |                16 |
| I Believe In Music                                                             |                16 |
| Ain't Understanding Mellow                                                     |                15 |
| Burning Love                                                                   |                15 |
| Power Of Love                                                                  |                15 |
| Rocket Man                                                                     |                15 |
| Long Cool Woman (In A Black Dress)                                             |                15 |
| I'll Be Around                                                                 |                15 |
| Back Stabbers                                                                  |                15 |
| Pop That Thang                                                                 |                15 |
| If I Could Reach You                                                           |                15 |
| I'll Take You There                                                            |                15 |
| Oh Girl                                                                        |                15 |
| Layla                                                                          |                15 |
| Bang A Gong (Get It On)                                                        |                15 |
| Precious And Few                                                               |                15 |
| Life And Breath                                                                |                15 |
| Sylvia's Mother                                                                |                15 |
| Hold Your Head Up                                                              |                15 |
| Jungle Fever                                                                   |                15 |
| Motorcycle Mama                                                                |                15 |
| We're Free                                                                     |                15 |
| Gone                                                                           |                15 |
| Sealed With A Kiss                                                             |                14 |
| Get On The Good Foot (Part 1)                                                  |                14 |
| Morning Has Broken                                                             |                14 |
| Heart Of Gold                                                                  |                14 |
| I Saw The Light                                                                |                14 |
| American Pie (Parts 1 and 2)                                                   |                14 |
| Ask Me What You Want                                                           |                14 |
| Funny Face                                                                     |                14 |
| Coconut                                                                        |                14 |
| I'd Like To Teach The World To Sing (In Perfect Harmony)                       |                14 |
| Down By The Lazy River                                                         |                14 |
| Too Late To Turn Back Now                                                      |                14 |
| I'd Love You To Want Me                                                        |                14 |
| A Horse With No Name                                                           |                14 |
| If You Don't Know Me By Now                                                    |                14 |
| Joy                                                                            |                14 |
| Hot Rod Lincoln                                                                |                14 |
| Day By Day                                                                     |                14 |
| Walking In The Rain With The One I Love                                        |                14 |
| Don't Say You Don't Remember                                                   |                14 |
| Crazy Mama                                                                     |                14 |
| I've Been Lonely For So Long                                                   |                14 |
| My Guy                                                                         |                13 |
| Song Sung Blue                                                                 |                13 |
| Mother And Child Reunion                                                       |                13 |
| Let It Rain                                                                    |                13 |
| You Don't Mess Around With Jim                                                 |                13 |
| Good Time Charlie's Got The Blues                                              |                13 |
| School's Out                                                                   |                13 |
| Rockin' Pneumonia - Boogie Woogie Flu                                          |                13 |
| A Cowboys Work Is Never Done                                                   |                13 |
| The Way Of Love                                                                |                13 |
| Conquistador                                                                   |                13 |
| You Want It, You Got It                                                        |                13 |
| Rock 'N Roll Soul                                                              |                13 |
| Everything I Own                                                               |                13 |
| Rockin' Robin                                                                  |                13 |
| In The Rain                                                                    |                13 |
| Where Is The Love                                                              |                13 |
| Roundabout                                                                     |                13 |
| Witchy Woman                                                                   |                13 |
| Listen To The Music                                                            |                13 |
| Speak To The Sky                                                               |                13 |
| Thunder And Lightning                                                          |                13 |
| Geronimo's Cadillac                                                            |                13 |
| You Are The One                                                                |                13 |
| Troglodyte (Cave Man)                                                          |                12 |
| Day Dreaming                                                                   |                12 |
| Tight Rope                                                                     |                12 |
| Use Me                                                                         |                12 |
| Woman Don't Go Astray                                                          |                12 |
| I'm Still In Love With You                                                     |                12 |
| Look What You Done For Me                                                      |                12 |
| Vincent                                                                        |                12 |
| Castles In The Air                                                             |                12 |
| Operator (That's Not The Way It Feels)                                         |                12 |
| Doctor My Eyes                                                                 |                12 |
| Rock Me On The Water                                                           |                12 |
| Loving You Just Crossed My Mind                                                |                12 |
| Floy Joy                                                                       |                12 |
| Sweet Inspiration & Where You Lead (Live)                                      |                12 |
| To Get To You                                                                  |                12 |
| Walk In The Night                                                              |                12 |
| Run To Me                                                                      |                12 |
| Saturday In The Park                                                           |                12 |
| Hurting Each Other                                                             |                12 |
| You're A Lady                                                                  |                12 |
| Puppy Love                                                                     |                12 |
| Why                                                                            |                12 |
| Lonely Boy                                                                     |                12 |
| Sunny Days                                                                     |                12 |
| I'm Stone In Love With You                                                     |                12 |
| Taurus                                                                         |                12 |
| Something's Wrong With Me                                                      |                12 |
| Suavecito                                                                      |                12 |
| We've Got To Get It On Again                                                   |                12 |
| Small Beginnings                                                               |                12 |
| You're Still A Young Man                                                       |                12 |
| Easy Livin'                                                                    |                12 |
| I'm Coming Home                                                                |                12 |
| No                                                                             |                12 |
| Play Me                                                                        |                11 |
| Beautiful                                                                      |                11 |
| Me And Julio Down By The Schoolyard                                            |                11 |
| Do Your Thing                                                                  |                11 |
| It Never Rains In Southern California                                          |                11 |
| Superwoman (Where Were You When I Needed You)                                  |                11 |
| Guess Who                                                                      |                11 |
| You Ought To Be With Me                                                        |                11 |
| Now Run And Tell That                                                          |                11 |
| Rock And Roll (Part 2)                                                         |                11 |
| In The Ghetto                                                                  |                11 |
| Love Theme From The Godfather (Speak Softly Love)                              |                11 |
| Rock And Roll Lullaby                                                          |                11 |
| Rip Off                                                                        |                11 |
| Don't Do It                                                                    |                11 |
| So Long Dixie                                                                  |                11 |
| Black & White                                                                  |                11 |
| Never Been To Spain                                                            |                11 |
| Footstompin Music                                                              |                11 |
| What Am I Crying For?                                                          |                11 |
| Hearsay                                                                        |                11 |
| The Day I Found Myself                                                         |                11 |
| Black Dog                                                                      |                11 |
| Everything Good Is Bad                                                         |                11 |
| Diary                                                                          |                11 |
| Crazy Horses                                                                   |                11 |
| Don't Ever Be Lonely (A Poor Little Fool Like Me)                              |                11 |
| I Wanna Be Where You Are                                                       |                11 |
| People Make The World Go Round                                                 |                11 |
| The Witch Queen Of New Orleans                                                 |                11 |
| From The Beginning                                                             |                11 |
| Ventura Highway                                                                |                11 |
| Take It Easy                                                                   |                11 |
| After Midnight                                                                 |                11 |
| Run Run Run                                                                    |                11 |
| American City Suite (Sweet City Song/All Around the Town/A Friend Is Dying)    |                11 |
| You Could Have Been A Lady                                                     |                11 |
| All The Young Dudes                                                            |                11 |
| A Piece Of Paper                                                               |                11 |
| That's How Love Goes                                                           |                11 |
| Son Of My Father                                                               |                11 |
| Zing Went The Strings Of My Heart                                              |                11 |
| Cheer                                                                          |                11 |
| Sweet Seasons                                                                  |                10 |
| That's The Way I Feel About 'Cha                                               |                10 |
| The Wedding Song (There Is Love)                                               |                10 |
| We've Come Too Far To End It Now                                               |                10 |
| Fire And Water                                                                 |                10 |
| That's The Way God Planned It                                                  |                10 |
| Honky Cat                                                                      |                10 |
| You Wear It Well                                                               |                10 |
| Anticipation                                                                   |                10 |
| Legend In Your Own Time                                                        |                10 |
| Clair                                                                          |                10 |
| Be My Lover                                                                    |                10 |
| My Man, A Sweet Man                                                            |                10 |
| Back Off Boogaloo                                                              |                10 |
| Baby Sitter                                                                    |                10 |
| Tumbling Dice                                                                  |                10 |
| We Can Make It Together                                                        |                10 |
| Chantilly Lace                                                                 |                10 |
| When You Say Love                                                              |                10 |
| Isn't Life Strange                                                             |                10 |
| Join Together                                                                  |                10 |
| Glory Bound                                                                    |                10 |
| Together Let's Find Love                                                       |                10 |
| Runnin' Away                                                                   |                10 |
| Space Man                                                                      |                10 |
| Dialogue (Part I & II)                                                         |                10 |
| Kiss An Angel Good Mornin'                                                     |                10 |
| Goodbye To Love                                                                |                10 |
| It's Going To Take Some Time                                                   |                10 |
| Lookin' Through The Windows                                                    |                10 |
| Corner Of The Sky                                                              |                10 |
| Breaking Up Is Hard To Do                                                      |                10 |
| The Guitar Man                                                                 |                10 |
| Day After Day                                                                  |                10 |
| Baby Blue                                                                      |                10 |
| The Nickel Song                                                                |                10 |
| Iron Man                                                                       |                10 |
| I Need You                                                                     |                10 |
| Stay With Me                                                                   |                10 |
| Softly Whispering I Love You                                                   |                10 |
| Long-Haired Lover From Liverpool                                               |                10 |
| In A Broken Dream                                                              |                10 |
| Why Can't We Be Lovers                                                         |                10 |
| Dancing In The Moonlight                                                       |                10 |
| Sweet Caroline (Good Times Never Seemed So Good)                               |                 9 |
